sector_description,source_description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
industrial,lubricants,186.343,166.703,169.96,173.064,180.886,177.78,172.534,182.262,190.802,192.799,189.907,173.997,171.935,158.957,161.04,160.199,156.078,161.177,149.635,134.533,135.879,127.396,118.313,125.091,130.663,142.135,135.148,124.895,121.987,118.313,111.09,113.944,119.5
industrial,miscellaneous petroleum products,137.834676,152.626068,100.062144,94.718232,105.852348,97.123572,89.032356,97.74954,118.986084,111.909168,119.206332,124.9038,134.1774,125.964468,113.421924,112.7912786,136.0328735,133.4738236,142.0289166,151.8256346,158.6999282,164.7415627,161.5824471,171.1615311,182.7404379,188.9261088,191.3413136,198.8103232,197.9677877,180.1543613,170.665492,170.8042541,183.4
industrial,motor gasoline,254.7798747,366.9062395,247.2611101,247.7467873,245.0821391,370.4528446,318.0605784,288.2487981,297.4812844,147.6002374,249.9043304,378.5150125,451.4043065,459.0932325,567.5738236,689.4724291,920.694045,850.6923479,738.3584533,635.5006669,559.7398325,455.9185059,432.1579549,606.1721367,205.6454428,321.3759339,287.2497784,295.7313872,205.5617009,242.7476843,240.1994191,221.5903325,295.6
industrial,motor gasoline blending components,53.696166,-25.918302,75.685224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industrial,"natural gas, including supplemental gaseous fuels",8442.861,8572.318,8917.797,9061.663,9126.046,9591.825,9900.567,9932.936,9763.365,9375.303,9499.793,8676.342,8831.57,8488.339,8549.832,7907.344,7861.025,8073.57,8083.405,7608.972,8277.985,8480.533,8818.611,9140.455,9441.052,9425.681,9617.459,9864.347,10473.767,10630.355,10339.735,10572.902,"10,793.40"
industrial,natural gasoline (pentanes plus),251.291478,295.16232,323.80197,333.578874,340.048884,339.241872,356.374644,330.197772,295.157682,366.397362,344.496726,264.20367,224.715738,221.6964,223.310424,197.0059189,140.6505456,180.0633466,153.6408832,128.0310114,156.1036241,54.89016416,84.7515283,94.58656499,88.73629846,161.0925862,112.5957567,173.4167772,224.56171,334.5577378,354.3112488,435.9184079,0
industrial,other coal,1714.146134,1693.594863,1647.437192,1656.835672,1659.043353,1603.560872,1584.68004,1585.623175,1562.158571,1455.8963,1462.809673,1476.501315,1370.571716,1376.420012,1397.700796,1338.215463,1311.357644,1266.536894,1213.178327,988.8982462,1076.757663,997.2510039,918.8232963,929.9866608,924.4149101,817.556809,733.7412103,691.9540877,654.9434269,602.8832347,524.0962271,531.8484109,527.9
industrial,"petrochemical feedstocks, naphtha less than 401 degrees F",347.800704,298.947072,377.126528,350.59264,398.338944,372.964864,479.310336,536.377088,583.992192,502.07616,613.533184,493.716096,582.55424,612.955904,749.430144,698.66624,628.852096,562.4544,477.1744,471.868672,490.572544,487.318784,453.920512,517.835904,442.605824,428.058368,420.02368,436.177024,447.087616,396.691072,354.60736,354.81728,265.5
industrial,"petrochemical feedstocks, other oils equal to or greater than 401 degrees F",753.923925,827.295625,814.515575,844.07745,838.642725,801.013225,729.645325,861.243725,818.6688,811.1429,722.154375,662.45395,632.064925,699.378625,779.48985,707.98215,790.6389,744.091325,647.7633,424.776475,452.52095,388.5275,287.2424,223.918825,247.22465,229.039,222.45675,262.92885,239.0813,234.089275,217.010375,216.893875,127.7
industrial,petroleum coke,714.215,692.649,797.706,725.296,723.158,721.294,756.838,727.41,858.485,935.764,796.069,857.575,842.082,824.688,936.764,893.533,937.85,909.536,870.15,804.675,693.985,662.696,716.747,663.261,653.464,663.286,652.688,610.071,628.623,602.325,495.168,514.919,484.7
industrial,residual fuel oil,411.445,333.899,386.916,445.909,418.919,336.729,335.233,290.639,229.841,207.473,240.638,203.252,190.107,220.439,248.707,281.387,239.264,193.239,194.347,130.139,120.201,134.925,69.885,48.225,40.579,33.856,52.415,49.937,43.34,40.9,31.972,49.85,47
industrial,special naphtha,107.090688,87.987968,104.5664,104.582144,81.050112,70.82176,74.542592,72.26496,107.274368,145.39584,97.37664,78.489088,102.38848,80.483328,51.042048,62.51223949,70.05048768,78.03761306,84.88506176,46.17003046,26.10245517,22.61417779,14.71516634,100.016384,106.119808,99.26592,93.577088,100.336512,92.04992,95.61856,86.550016,81.228544,89.2
industrial,still gas,1473.21,1426.554,1446.96,1430.19,1439.406,1417.452,1437.09,1447.104,1437.234,1437.12,1448.19,1466.592,1461.102,1536.306,1546.134,1497.084,1553.358,1526.856,1470.3,1455.018,1471.812,1486.974,1480.818,1537.296,1516.944,1495.026,1604.700167,1582.821407,1612.156549,1533.474744,1404.786141,1476.231609,"1,517.40"
industrial,unfinished oils,-368.961325,-450.2259,-354.829875,-396.0068,-279.2272,-320.89925,-112.836075,-102.875325,-313.9442,-287.912275,-401.150275,-75.4221,-135.6759,-50.3979,-75.55025,2.78435,70.336875,65.187575,-53.71815,-77.792875,27.96,56.123875,60.084875,16.7130667,-80.58997593,-17.7906917,8.57897845,76.36784118,30.86216063,135.9163793,190.5279853,49.0218719,0
industrial,waxes,33.299518,35.126728,37.258473,40.026973,40.58621,40.591747,48.664693,43.7423,42.369124,37.435657,33.083575,36.333794,32.16997,31.045959,30.769109,31.36745383,26.14573061,21.88657608,19.14223955,12.22266726,17.08272472,15.07495315,15.29109548,16.4887818,14.78347993,12.35738801,12.84910683,10.16164083,12.41172259,10.42369042,9.205389851,11.791191,13
residential,coal,31.114,25.355,25.589,25.749,20.845,17.451,16.584,15.992,11.548,13.981,11.358,11.971,12.248,12.247,11.434,8.435,6.408,7.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
residential,distillate fuel oil,959.1616223,930.9743751,931.4097554,883.2641894,854.6068983,789.7018462,836.8853143,783.7266765,672.7421921,702.3983021,775.2453736,839.4798176,758.9913829,848.2951014,874.4462256,769.0997122,683.0486659,678.2782629,617.7837557,551.4087774,544.3543096,522.7653349,429.3475985,445.1298729,499.9819784,483.1479443,355.7111438,327.036376,430.9566885,400.8692619,335.9707041,308.5267215,416.2
residential,kerosene,63.909,72.34,65.004,75.614,64.923,74.295,88.781,92.883,108.317,111.164,94.572,95.085,59.937,70.301,84.759,83.804,66.351,43.918,21.263,27.693,29.105,18.526,7.737,8.26,13.748,10.117,13.65,8.412,8.241,10.754,10.836,8.57,9.6
residential,lpg,352.597,378.638,369.891,390.08,384.176,395.323,469.345,455.39,424.439,526.669,555.615,526.367,537.848,545.19,512.413,513.52,446.105,484.281,553.444,547.781,529.834,492.612,395.556,463.473,489.522,445.709,429.888,430.701,506.547,563.405,494.934,496.583,497.6
residential,"natural gas, including supplemental gaseous fuels",4486.553,4667.223,4804.581,5058.373,4959.84,4954.189,5354.389,5092.919,4646.087,4834.899,5104.593,4889.018,4994.994,5209.428,4980.831,4946.354,4475.913,4835.44,5010.061,4883.112,4878.111,4804.579,4242.094,5022.942,5242.483,4776.927,4505.844,4563.472,5174.394,5208.032,4845.669,4888.389,"5,139.90"
transportation,aviation gasoline,44.978,41.722,41.055,38.395,38.138,39.581,37.355,39.697,35.498,39.172,36.285,34.937,33.731,30.222,31.242,35.366,33.448,31.59,28.284,26.558,27.047,27.057,25.114,22.358,21.696,21.141,20.465,20.949,22.393,23.387,20.202,21.55,22.3
transportation,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transportation,distillate fuel oil,3712.801049,3598.967235,3811.646584,4036.036402,4308.145174,4508.998941,4713.094043,4927.662495,5113.979003,5364.888936,5528.261324,5489.351018,5678.413875,5814.769636,6061.251737,6320.699456,6477.935345,6551.056293,6229.102815,5605.72213,5857.584446,5875.259419,5843.148496,5870.686083,6073.852026,6268.154669,6221.607375,6409.1573,6562.291517,6529.283144,6137.815188,6580.325813,"6,528.00"
transportation,jet fuel,3129.488,3025.004,3001.329,3028.006,3154.499,3132.196,3274.237,3308.167,3356.783,3461.783,3580.35,3425.986,3340.318,3265.457,3382.53,3474.754,3379.381,3357.609,3192.839,2883.277,2962.869,2949.818,2901.434,2968.559,3042.089,3204.165,3349.877,3481.346,3532.757,3608.021,2233.843,2835.043,"3,227.90"
transportation,lpg,22.915,21.159,19.437,20.27,34.046,17.753,15.656,14.241,17.667,14.29,11.899,13.738,14.3,17.894,19.129,28.235,27.502,21.973,40.197,28.07,4.484,4.511,4.369,5.195,5.982,7.669,8.833,9.142,8.929,8.693,4.568,4.568,9.8
transportation,lubricants,176,157.45,160.527,163.458,170.846,167.913,162.957,172.146,180.212,182.097,179.366,164.339,162.392,150.134,152.102,151.307,147.414,152.231,141.33,127.065,154.773,148.372,135.408,143.361,149.361,162.811,154.351,141.983,136.986,131.329,115.615,118.586,125.4
transportation,motor gasoline,13464.07262,13252.59357,13623.95359,13850.22844,14079.75685,14273.06853,14604.79713,14777.65031,15200.70959,15710.17314,15662.99358,15770.77606,16096.71506,16165.09815,16379.46747,16235.68067,16007.41927,15823.80002,15105.2598,15030.39585,14898.7852,14575.52702,14523.33818,14542.04871,15103.00719,14998.50185,15352.87581,15302.83145,15527.53423,15381.10616,13262.10596,14558.9067,"14,358.50"
transportation,"natural gas, including supplemental gaseous fuels",679.228,620.324,608.106,644.101,708.538,723.952,736.886,780.312,666.097,675.335,671.991,658.046,698.916,627.446,601.955,623.903,624.975,663.462,692.134,714.872,718.952,733.548,779.779,887.273,759.702,744.841,757.182,798.564,962.172,1114.111,1108.66,1230.218,"1,325.90"
transportation,residual fuel oil,1016.005,1025.921,1069.969,901.457,882.59,910.514,851.302,711.71,673.71,665.449,887.54,585.534,676.811,570.929,739.508,837.442,905.678,993.643,925.922,790.516,891.98,776.321,670.521,581.153,446.537,463.4,623.124,664.585,604.031,529.103,391.461,610.366,630.1
