Source,Subcategory,State,GHG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Iron and Steel Production,All,MO,CO2e,318.994857,290.0628681,296.0075878,285.4212996,287.5592165,299.8388048,296.0743335,301.8949682,333.6641122,360.8738725,389.5955392,327.7079302,343.537116,279.2427884,212.1707676,142.6768847,111.3442004,74.32308057,65.38939897,41.57762281,0,0,0,0,0,0,0,0,0,0,0,1.772381325,9.373969622,0
Iron and Steel Production,All,MS,CO2e,356.3971706,324.0728909,330.7146321,318.8870961,321.2756849,334.9950613,330.7892037,337.2923109,287.2902084,222.8916532,165.0330354,79.65622646,0,156.544005,279.2814702,417.6883482,572.5323521,696.9931851,660.5271283,453.7607414,291.9891815,372.0213787,441.4932797,476.8237153,494.0615567,496.7833967,0.115544732,0.107396117,0.119548077,0.151330881,133.2018811,132.5208702,236.9607632,606.8240059
Iron and Steel Production,All,MT,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,NC,CO2e,1020.325598,927.7847678,946.7993368,912.938412,919.7766771,959.0537311,947.0128271,965.630502,1093.499663,1237.759917,1657.947486,2230.13117,2787.58792,2559.516151,2072.32999,1687.311744,1591.175596,1558.934734,1343.428936,897.0560361,234.9040924,296.0509518,242.319703,242.3713867,277.8620277,225.2247499,268.3262871,240.2290093,194.2373117,199.8469377,146.9744458,132.1443072,91.91347583,6.006539651
Iron and Steel Production,All,ND,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,NE,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.00319828,32.80226673,135.1575082
Iron and Steel Production,All,NH,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,NJ,CO2e,1001.387493,910.5642983,929.2259409,895.9935035,902.7048445,941.2528832,929.4354685,947.7075837,847.8776832,723.4733083,805.7837338,767.9349377,769.3467199,598.0984161,726.5248124,621.917012,603.2595675,589.7089923,569.4905726,337.8613142,16.94177941,19.96242862,24.14292638,19.16176086,0,25.82592304,24.02089603,32.00278796,32.13668838,29.52800819,26.93768758,29.9468625,21.82378149,62.14448016
Iron and Steel Production,All,NM,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,NV,CO2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron and Steel Production,All,NY,CO2e,1521.89642,1389.847136,1373.021918,1304.083705,1413.030474,1465.612239,1416.798027,1420.654809,1342.382963,1164.171403,1243.003121,1108.859719,1116.514729,879.5997798,1011.448873,879.3969501,851.0061582,831.6931391,805.3601496,471.489937,89.10698468,114.1613875,96.01071632,92.05805669,79.81663021,95.14498506,61.43955122,60.05633936,5.903000424,0,0,16.18918765,16.95487164,44.34395883
Iron and Steel Production,All,OH,CO2e,15169.83047,13699.03404,13879.00352,13207.05857,13534.65501,14027.05718,13670.28798,13912.29362,13620.5067,14037.98235,14236.73998,12396.77251,10603.45561,8941.964209,10105.02761,10722.39927,10502.70257,10961.5147,10058.84044,4616.282114,9602.469752,10625.72265,8235.498284,7694.108954,8932.037255,8143.707527,7993.784663,7387.160961,7807.718751,8152.799305,6681.251943,7666.11578,6850.121286,8529.167713
Iron and Steel Production,All,OK,CO2e,226.6836265,206.1240218,210.3484492,202.8256376,204.3448808,213.0709826,210.3958799,214.5321302,237.9256418,258.128373,279.4580963,235.6692193,247.6324533,282.2008069,300.7732289,289.7855321,340.8741813,382.9528219,336.9216489,214.2304633,0,11.57012556,28.66257478,20.70468548,9.955057874,11.49668324,12.46152782,18.61686066,39.50379239,69.44174294,48.62424794,41.50019635,13.09997493,319.8857418
