sector_code,source_code,type,msn,msn_description,unit
IC,WS,B,WSICB,waste energy consumed by the industrial sector,billion btu
IC,WW,B,WWICB,wood and waste energy consumed in the industrial sector,billion btu
IC,WX,B,WXICB,waxes consumed by the industrial sector,billion btu
IC,WY,B,WYICB,wind energy consumed by the industrial sector,billion btu
IM,CC,B,CCIMB,coal coke imported into the united states,billion btu
IM,EL,B,ELIMB,electricity imported into the united states,billion btu
IN,SF,B,SFINB,supplemental gaseous fuels consumed by the industrial sector,billion btu
IP,TE,B,TEIPB,total energy consumption per capita in the industrial sector,million btu
IS,CL,B,CLISB,coal consumed by the industrial sector excluding refinery fuel,billion btu
IS,DF,B,DFISB,distillate fuel oil consumed by the industrial sector excluding refinery fuel,billion btu
IS,EL,B,ELISB,net interstate flow of electricity and associated losses (negative indicates flow out of state),billion btu
IS,ES,B,ESISB,electricity sales to the industrial sector excluding refinery use,billion btu
IS,HL,B,HLISB,hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel,billion btu
IS,NG,B,NGISB,natural gas consumed by the industrial sector excluding refinery fuel,billion btu
IS,OP,B,OPISB,other petroleum products consumed by the industrial sector excluding refinery fuel and intermediate products,billion btu
IS,P1,B,P1ISB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector excluding refinery fuel and intermediate products",billion btu
IS,PA,B,PAISB,all petroleum products consumed by the industrial sector excluding process fuel and intermediate products,billion btu
IS,PC,B,PCISB,petroleum coke consumed by the industrial sector excluding refinery fuel,billion btu
IS,PE,B,PEISB,"primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
IS,PQ,B,PQISB,propane consumed in the industrial sector excluding refinery fuel,billion btu
IS,RF,B,RFISB,residual fuel oil consumed by the industrial sector excluding refinery fuel,billion btu
IS,TN,B,TNISB,"total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
IS,WW,B,WWISB,wood and waste energy consumed in the industrial sector at a cost,billion btu
IX,WW,B,WWIXB,wood and waste energy consumed in the industrial sector at no cost,billion btu
KC,CL,B,CLKCB,coal consumed at coke plants (coking coal),billion btu
LC,BD,B,BDLCB,energy losses and co-products from the production of biodiesel,billion btu
LC,BF,B,BFLCB,energy losses and co-products from the production of biofuels,billion btu
LC,EM,B,EMLCB,energy losses and co-products from the production of fuel ethanol,billion btu
LP,NG,B,NGLPB,natural gas consumed as lease and plant fuel,billion btu
MP,NG,B,NGMPB,natural gas marketed production,billion btu
NI,CC,B,CCNIB,coal coke net imports into the united states,billion btu
NI,EL,B,ELNIB,net imports of electricity into the united states,billion btu
OC,CL,B,CLOCB,coal consumed by industrial users other than coke plants,billion btu
OS,CL,B,CLOSB,coal consumed by the industrial sector other than coke plants excluding refinery fuel,billion btu
PF,TE,B,TEPFB,total energy used as process fuel and other consumption that has no direct fuel costs,billion btu
PR,CL,B,CLPRB,coal production,billion btu
PR,NC,B,NCPRB,noncombustible renewable energy production,billion btu
PR,PA,B,PAPRB,crude oil production (including lease condensate),billion btu
PR,RE,B,REPRB,renewable energy production,billion btu
PR,TE,B,TEPRB,total primary energy production,billion btu
PR,WD,B,WDPRB,wood energy production,billion btu
PR,WW,B,WWPRB,wood and waste energy production,billion btu
PZ,NG,B,NGPZB,natural gas for pipeline and distribution use,billion btu
RC,CL,B,CLRCB,coal consumed by the residential sector,billion btu
RC,DF,B,DFRCB,distillate fuel oil consumed by the residential sector,billion btu
RC,ES,B,ESRCB,"electricity consumed by (i.e., sold to) the residential sector",billion btu
RC,GE,B,GERCB,geothermal energy consumed by the residential sector,billion btu
RC,HL,B,HLRCB,hydrocarbon gas liquids consumed by the residential sector,billion btu
RC,KS,B,KSRCB,kerosene consumed by the residential sector,billion btu
RC,LO,B,LORCB,the residential sector's share of electrical system energy losses,billion btu
RC,NG,B,NGRCB,natural gas consumed by (delivered to) the residential sector,billion btu
RC,PA,B,PARCB,all petroleum products consumed by the residential sector,billion btu
RC,PQ,B,PQRCB,propane consumed by the residential sector,billion btu
RC,SF,B,SFRCB,supplemental gaseous fuels consumed by the residential sector,billion btu
RC,SO,B,SORCB,solar energy consumed by the residential sector,billion btu
RC,TE,B,TERCB,total energy consumed by the residential sector,billion btu
RC,TN,B,TNRCB,total energy consumed by the residential sector excluding the sector's share of electrical system energy losses,billion btu
RC,WD,B,WDRCB,wood energy consumed by the residential sector,billion btu
RF,CL,B,CLRFB,coal consumed as refinery fuel,billion btu
RF,DF,B,DFRFB,distillate fuel oil consumed as refinery fuel,billion btu
RF,ES,B,ESRFB,electricity consumed by refineries,billion btu
RF,HL,B,HLRFB,hydrocarbon gas liquids consumed as refinery fuel and intermediate products,billion btu
RF,NG,B,NGRFB,natural gas consumed as refinery fuel,billion btu
RF,P5,B,P5RFB,other petroleum products consumed as refinery fuel and intermediate products,billion btu
RF,PC,B,PCRFB,petroleum coke consumed as refinery fuel,billion btu
RF,PQ,B,PQRFB,propane consumed as refinery fuel,billion btu
RF,RF,B,RFRFB,residual fuel oil consumed as refinery fuel,billion btu
RF,TE,B,TERFB,total energy used as refinery fuel and intermediate products,billion btu
RP,TE,B,TERPB,total energy consumption per capita in the residential sector,million btu
RS,PE,B,PERSB,"primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
RS,TN,B,TNRSB,"total net energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
RS,WD,B,WDRSB,wood energy consumed in the residential sector at a cost,billion btu
RX,WD,B,WDRXB,wood energy consumed in the residential sector at no cost,billion btu
SC,CL,B,CLSCB,coal total consumption adjusted for process fuel,billion btu
SC,DF,B,DFSCB,distillate fuel oil total consumption adjusted for process fuel,billion btu
SC,ES,B,ESSCB,electricity total consumption adjusted for process fuel,billion btu
SC,HL,B,HLSCB,hydrocarbon gas liquids total consumption adjusted for processed fuel,billion btu
SC,NG,B,NGSCB,natural gas total consumption adjusted for process fuel,billion btu
SC,OP,B,OPSCB,other petroleum products total consumption adjusted for refinery fuel and intermediate products,billion btu
SC,P1,B,P1SCB,"asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption adjusted for process fuel and intermediate products",billion btu
SC,PA,B,PASCB,all petroleum products total consumption adjusted for process fuel and intermediate products,billion btu
SC,PC,B,PCSCB,petroleum coke total consumption adjusted for process fuel,billion btu
SC,PE,B,PESCB,"primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",billion btu
SC,PQ,B,PQSCB,propane total consumption adjusted for process fuel,billion btu
SC,RF,B,RFSCB,residential fuel oil total consumption excluding process fuel,billion btu
